"GEO_ID","NAME","S2801_C01_001E","S2801_C01_001M","S2801_C01_002E","S2801_C01_002M","S2801_C01_003E","S2801_C01_003M","S2801_C01_004E","S2801_C01_004M","S2801_C01_005E","S2801_C01_005M","S2801_C01_006E","S2801_C01_006M","S2801_C01_007E","S2801_C01_007M","S2801_C01_008E","S2801_C01_008M","S2801_C01_009E","S2801_C01_009M","S2801_C01_010E","S2801_C01_010M","S2801_C01_011E","S2801_C01_011M","S2801_C01_012E","S2801_C01_012M","S2801_C01_013E","S2801_C01_013M","S2801_C01_014E","S2801_C01_014M","S2801_C01_015E","S2801_C01_015M","S2801_C01_016E","S2801_C01_016M","S2801_C01_017E","S2801_C01_017M","S2801_C01_018E","S2801_C01_018M","S2801_C01_019E","S2801_C01_019M","S2801_C01_020E","S2801_C01_020M","S2801_C01_021E","S2801_C01_021M","S2801_C01_022E","S2801_C01_022M","S2801_C01_023E","S2801_C01_023M","S2801_C01_024E","S2801_C01_024M","S2801_C01_025E","S2801_C01_025M","S2801_C01_026E","S2801_C01_026M","S2801_C01_027E","S2801_C01_027M","S2801_C01_028E","S2801_C01_028M","S2801_C01_029E","S2801_C01_029M","S2801_C01_030E","S2801_C01_030M","S2801_C01_031E","S2801_C01_031M","S2801_C02_001E","S2801_C02_001M","S2801_C02_002E","S2801_C02_002M","S2801_C02_003E","S2801_C02_003M","S2801_C02_004E","S2801_C02_004M","S2801_C02_005E","S2801_C02_005M","S2801_C02_006E","S2801_C02_006M","S2801_C02_007E","S2801_C02_007M","S2801_C02_008E","S2801_C02_008M","S2801_C02_009E","S2801_C02_009M","S2801_C02_010E","S2801_C02_010M","S2801_C02_011E","S2801_C02_011M","S2801_C02_012E","S2801_C02_012M","S2801_C02_013E","S2801_C02_013M","S2801_C02_014E","S2801_C02_014M","S2801_C02_015E","S2801_C02_015M","S2801_C02_016E","S2801_C02_016M","S2801_C02_017E","S2801_C02_017M","S2801_C02_018E","S2801_C02_018M","S2801_C02_019E","S2801_C02_019M","S2801_C02_020E","S2801_C02_020M","S2801_C02_021E","S2801_C02_021M","S2801_C02_022E","S2801_C02_022M","S2801_C02_023E","S2801_C02_023M","S2801_C02_024E","S2801_C02_024M","S2801_C02_025E","S2801_C02_025M","S2801_C02_026E","S2801_C02_026M","S2801_C02_027E","S2801_C02_027M","S2801_C02_028E","S2801_C02_028M","S2801_C02_029E","S2801_C02_029M","S2801_C02_030E","S2801_C02_030M","S2801_C02_031E","S2801_C02_031M",
"0500000US27099","Mower County, Minnesota","15570","267","14703","319","11436","411","490","108","13829","336","1797","252","9472","410","226","96","612","172","0","20","867","185","13675","354","25","14","13650","353","12560","369","2005","267","10541","402","1516","212","1895","268","1566","236","2","3","1017","190","547","163","6554","446","15","13","5556","394","983","192","7450","408","8","7","7077","397","365","86","(X)","(X)","94.4","1.2","73.4","2.4","3.1","0.7","88.8","1.5","11.5","1.6","60.8","2.6","1.5","0.6","3.9","1.1","0.0","0.1","5.6","1.2","87.8","1.7","0.2","0.1","87.7","1.7","80.7","1.9","12.9","1.7","67.7","2.4","9.7","1.3","12.2","1.7","(X)","(X)","0.1","0.2","64.9","8.5","34.9","8.5","(X)","(X)","0.2","0.2","84.8","2.6","15.0","2.6","(X)","(X)","0.1","0.1","95.0","1.1","4.9","1.1",
"0500000US27101","Murray County, Minnesota","3601","116","3261","108","2576","117","134","26","3012","104","391","66","2044","106","41","30","38","19","0","13","340","63","2974","146","12","7","2962","144","2706","127","351","53","2112","123","613","62","627","86","392","74","5","5","238","62","149","53","1423","102","4","3","1124","99","295","47","1786","93","3","4","1600","96","183","57","(X)","(X)","90.6","1.7","71.5","2.5","3.7","0.7","83.6","1.7","10.9","1.8","56.8","2.6","1.1","0.8","1.1","0.5","0.0","0.6","9.4","1.7","82.6","2.4","0.3","0.2","82.3","2.4","75.1","2.2","9.7","1.4","58.7","2.6","17.0","1.6","17.4","2.4","(X)","(X)","1.3","1.2","60.7","11.4","38.0","11.3","(X)","(X)","0.3","0.2","79.0","3.2","20.7","3.2","(X)","(X)","0.2","0.2","89.6","3.1","10.2","3.1",
"0500000US27103","Nicollet County, Minnesota","12984","171","12033","268","10570","334","370","86","11391","280","847","182","8214","348","99","44","278","105","0","20","951","204","11380","282","20","15","11360","284","10787","304","1309","221","9364","325","1025","196","1604","217","1298","210","13","15","753","151","532","170","4945","329","1","2","4071","350","873","154","6741","332","6","5","6536","323","199","66","(X)","(X)","92.7","1.6","81.4","2.2","2.8","0.7","87.7","1.7","6.5","1.4","63.3","2.5","0.8","0.3","2.1","0.8","0.0","0.2","7.3","1.6","87.6","1.7","0.2","0.1","87.5","1.7","83.1","1.9","10.1","1.7","72.1","2.1","7.9","1.5","12.4","1.7","(X)","(X)","1.0","1.2","58.0","9.7","41.0","9.7","(X)","(X)","0.0","0.1","82.3","3.2","17.7","3.2","(X)","(X)","0.1","0.1","97.0","1.0","3.0","1.0",
"0500000US27105","Nobles County, Minnesota","7689","181","7178","192","5150","313","345","111","6517","221","1108","193","4505","266","84","54","159","73","2","4","511","122","6679","213","26","20","6653","210","5671","241","824","149","5224","245","973","160","1010","181","1035","205","1","2","799","199","235","83","3261","257","21","19","2723","255","517","136","3393","297","4","4","3131","273","258","101","(X)","(X)","93.4","1.5","67.0","3.4","4.5","1.4","84.8","2.4","14.4","2.5","58.6","3.2","1.1","0.7","2.1","0.9","0.0","0.1","6.6","1.5","86.9","2.3","0.3","0.3","86.5","2.3","73.8","2.7","10.7","1.9","67.9","3.0","12.7","2.1","13.1","2.3","(X)","(X)","0.1","0.2","77.2","7.9","22.7","7.9","(X)","(X)","0.6","0.6","83.5","4.0","15.9","4.0","(X)","(X)","0.1","0.1","92.3","2.8","7.6","2.8",
"0500000US27107","Norman County, Minnesota","2676","83","2452","75","1966","87","87","24","2247","85","309","61","1527","88","36","14","56","18","0","13","224","45","2324","79","4","4","2320","78","2144","89","339","45","1868","88","160","36","352","52","316","58","0","13","218","56","98","32","1107","95","2","2","931","88","174","32","1253","89","2","3","1171","83","80","22","(X)","(X)","91.6","1.6","73.5","2.9","3.3","0.9","84.0","1.8","11.5","2.2","57.1","2.9","1.3","0.5","2.1","0.6","0.0","0.7","8.4","1.6","86.8","1.8","0.1","0.1","86.7","1.8","80.1","2.1","12.7","1.7","69.8","2.4","6.0","1.3","13.2","1.8","(X)","(X)","0.0","6.1","69.0","9.6","31.0","9.6","(X)","(X)","0.2","0.2","84.1","2.6","15.7","2.6","(X)","(X)","0.2","0.2","93.5","1.6","6.4","1.6",
"0500000US27109","Olmsted County, Minnesota","66629","576","63969","671","56756","969","2029","292","60290","735","3488","491","45656","1032","644","227","1486","313","0","22","2660","363","60970","783","89","41","60881","789","56932","832","5813","599","52874","925","3379","401","5659","491","5004","569","1","2","3806","492","1197","277","21636","893","46","24","18639","906","2951","430","39989","864","42","30","38436","858","1511","236","(X)","(X)","96.0","0.5","85.2","1.1","3.0","0.4","90.5","0.7","5.2","0.7","68.5","1.4","1.0","0.3","2.2","0.5","0.0","0.1","4.0","0.5","91.5","0.7","0.1","0.1","91.4","0.8","85.4","0.9","8.7","0.9","79.4","1.2","5.1","0.6","8.5","0.7","(X)","(X)","0.0","0.1","76.1","4.8","23.9","4.8","(X)","(X)","0.2","0.1","86.1","2.0","13.6","1.9","(X)","(X)","0.1","0.1","96.1","0.6","3.8","0.6",
"0500000US27111","Otter Tail County, Minnesota","25181","348","23376","405","18794","466","975","152","21456","442","2458","239","15088","416","386","119","525","119","1","2","1805","207","21722","459","104","31","21618","459","19273","515","3356","272","17122","457","1438","113","3459","298","3032","319","24","14","1839","231","1169","241","10278","376","39","14","8487","361","1752","192","11871","358","41","27","11292","358","538","83","(X)","(X)","92.8","0.8","74.6","1.4","3.9","0.6","85.2","1.0","9.8","1.0","59.9","1.5","1.5","0.5","2.1","0.5","0.0","0.1","7.2","0.8","86.3","1.2","0.4","0.1","85.9","1.2","76.5","1.6","13.3","1.0","68.0","1.5","5.7","0.5","13.7","1.2","(X)","(X)","0.8","0.4","60.7","5.9","38.6","5.9","(X)","(X)","0.4","0.1","82.6","1.8","17.0","1.8","(X)","(X)","0.3","0.2","95.1","0.7","4.5","0.7",
"0500000US27113","Pennington County, Minnesota","6170","184","5778","192","4674","203","207","68","5367","202","715","146","3416","241","80","49","94","41","0","15","392","84","5551","200","9","14","5542","204","4969","227","522","122","4813","199","368","102","619","135","620","135","0","15","467","130","153","73","2585","238","9","14","2203","233","373","97","2965","220","0","15","2872","226","93","47","(X)","(X)","93.6","1.3","75.8","2.9","3.4","1.1","87.0","1.6","11.6","2.3","55.4","3.8","1.3","0.8","1.5","0.7","0.0","0.3","6.4","1.3","90.0","2.1","0.1","0.2","89.8","2.1","80.5","2.8","8.5","1.9","78.0","2.6","6.0","1.6","10.0","2.1","(X)","(X)","0.0","3.2","75.3","11.1","24.7","11.1","(X)","(X)","0.3","0.6","85.2","3.7","14.4","3.6","(X)","(X)","0.0","0.7","96.9","1.6","3.1","1.6",
"0500000US27115","Pine County, Minnesota","11913","215","10926","234","8550","257","634","140","10059","250","1573","164","6385","246","82","26","145","37","5","4","987","104","10233","234","75","32","10158","233","9055","245","2534","238","5955","218","1732","137","1680","140","1485","162","25","23","966","135","494","89","4895","193","28","14","3919","183","948","128","5533","197","22","9","5273","204","238","56","(X)","(X)","91.7","0.9","71.8","1.9","5.3","1.2","84.4","1.3","13.2","1.3","53.6","1.8","0.7","0.2","1.2","0.3","0.0","0.1","8.3","0.9","85.9","1.2","0.6","0.3","85.3","1.2","76.0","1.4","21.3","1.9","50.0","1.8","14.5","1.1","14.1","1.2","(X)","(X)","1.7","1.5","65.1","5.3","33.3","5.1","(X)","(X)","0.6","0.3","80.1","2.4","19.4","2.4","(X)","(X)","0.4","0.2","95.3","1.1","4.3","1.0",
"0500000US27117","Pipestone County, Minnesota","3971","145","3696","154","2900","170","174","61","3375","154","421","103","2352","145","45","31","80","39","0","13","275","54","3407","170","3","3","3404","169","3039","171","461","84","2584","163","418","76","564","101","462","80","0","13","304","75","158","50","1704","149","1","2","1462","150","241","53","1805","118","2","3","1638","118","165","63","(X)","(X)","93.1","1.4","73.0","3.4","4.4","1.5","85.0","2.1","10.6","2.5","59.2","3.1","1.1","0.8","2.0","1.0","0.0","0.5","6.9","1.4","85.8","2.5","0.1","0.1","85.7","2.5","76.5","2.8","11.6","2.0","65.1","3.3","10.5","1.9","14.2","2.5","(X)","(X)","0.0","4.2","65.8","9.8","34.2","9.8","(X)","(X)","0.1","0.1","85.8","3.2","14.1","3.2","(X)","(X)","0.1","0.1","90.7","3.4","9.1","3.4",
"0500000US27119","Polk County, Minnesota","12448","281","11649","305","9433","329","475","106","10850","313","1381","191","7609","339","105","39","280","72","3","3","799","132","11115","311","13","12","11102","310","10333","288","1472","210","8864","323","783","131","1333","165","1742","236","7","10","1261","212","474","140","4994","331","3","3","4294","335","697","114","5712","272","3","5","5547","274","162","37","(X)","(X)","93.6","1.1","75.8","1.9","3.8","0.8","87.2","1.5","11.1","1.5","61.1","2.4","0.8","0.3","2.2","0.6","0.0","0.1","6.4","1.1","89.3","1.3","0.1","0.1","89.2","1.3","83.0","1.5","11.8","1.7","71.2","2.0","6.3","1.0","10.7","1.3","(X)","(X)","0.4","0.6","72.4","7.2","27.2","7.2","(X)","(X)","0.1","0.1","86.0","2.3","14.0","2.3","(X)","(X)","0.1","0.1","97.1","0.6","2.8","0.7",
"0500000US27121","Pope County, Minnesota","4987","119","4615","141","3813","162","179","34","4271","146","457","72","3025","164","98","56","71","23","0","15","372","87","4324","141","31","16","4293","138","3979","144","550","80","3204","166","614","76","663","106","621","106","3","4","410","92","208","68","1968","131","19","11","1618","125","331","74","2398","104","9","10","2265","101","124","33","(X)","(X)","92.5","1.7","76.5","2.5","3.6","0.7","85.6","2.1","9.2","1.5","60.7","3.0","2.0","1.1","1.4","0.5","0.0","0.4","7.5","1.7","86.7","2.1","0.6","0.3","86.1","2.0","79.8","2.2","11.0","1.6","64.2","2.7","12.3","1.5","13.3","2.1","(X)","(X)","0.5","0.6","66.0","9.5","33.5","9.4","(X)","(X)","1.0","0.6","82.2","3.4","16.8","3.5","(X)","(X)","0.4","0.4","94.5","1.4","5.2","1.3",
"0500000US27123","Ramsey County, Minnesota","219075","1061","209475","1204","181169","1644","6791","554","197288","1301","16038","1062","142357","1882","2067","361","6017","636","60","45","9600","602","201539","1328","566","150","200973","1344","188020","1416","23323","1161","171716","1709","9590","789","17536","907","22003","1093","54","47","16539","1031","5410","527","80106","1879","371","135","71337","1856","8398","612","116966","1764","141","57","113097","1657","3728","422","(X)","(X)","95.6","0.3","82.7","0.6","3.1","0.3","90.1","0.4","7.3","0.5","65.0","0.8","0.9","0.2","2.7","0.3","0.0","0.1","4.4","0.3","92.0","0.4","0.3","0.1","91.7","0.4","85.8","0.5","10.6","0.5","78.4","0.7","4.4","0.4","8.0","0.4","(X)","(X)","0.2","0.2","75.2","2.3","24.6","2.3","(X)","(X)","0.5","0.2","89.1","0.8","10.5","0.8","(X)","(X)","0.1","0.1","96.7","0.3","3.2","0.3",
"0500000US27125","Red Lake County, Minnesota","1650","56","1495","60","1212","67","117","32","1318","64","184","37","959","64","19","8","61","29","0","9","155","36","1364","56","14","9","1350","56","1192","61","161","40","1142","68","90","20","286","45","193","36","7","8","77","22","109","30","600","63","5","4","463","59","132","39","857","75","2","2","810","74","45","14","(X)","(X)","90.6","2.1","73.5","3.3","7.1","2.0","79.9","2.3","11.2","2.2","58.1","3.2","1.2","0.5","3.7","1.7","0.0","1.2","9.4","2.1","82.7","2.5","0.8","0.5","81.8","2.5","72.2","3.1","9.8","2.4","69.2","3.9","5.5","1.2","17.3","2.5","(X)","(X)","3.6","3.9","39.9","9.9","56.5","10.1","(X)","(X)","0.8","0.6","77.2","5.8","22.0","5.9","(X)","(X)","0.2","0.3","94.5","1.7","5.3","1.7",
"0500000US27127","Redwood County, Minnesota","6156","153","5656","162","4597","157","209","41","5252","167","669","114","3510","154","112","35","98","32","1","2","500","89","5177","165","19","8","5158","166","4780","168","637","92","3712","158","876","91","979","106","847","134","2","2","470","105","375","81","2620","160","10","6","2149","148","461","82","2689","149","7","4","2539","144","143","40","(X)","(X)","91.9","1.4","74.7","2.0","3.4","0.7","85.3","1.6","10.9","1.8","57.0","2.4","1.8","0.6","1.6","0.5","0.0","0.1","8.1","1.4","84.1","1.7","0.3","0.1","83.8","1.7","77.6","1.9","10.3","1.5","60.3","2.0","14.2","1.4","15.9","1.7","(X)","(X)","0.2","0.3","55.5","7.5","44.3","7.5","(X)","(X)","0.4","0.2","82.0","2.9","17.6","2.9","(X)","(X)","0.3","0.2","94.4","1.4","5.3","1.4",
"0500000US27129","Renville County, Minnesota","5965","118","5372","128","4274","136","230","55","4959","128","630","90","3515","132","102","31","149","47","0","15","593","77","4976","135","4","3","4972","135","4536","142","791","98","3255","133","1094","105","989","105","699","96","0","15","405","75","294","58","2547","138","3","3","2031","131","513","84","2719","125","1","2","2536","123","182","44","(X)","(X)","90.1","1.3","71.7","2.0","3.9","0.9","83.1","1.5","10.6","1.5","58.9","2.1","1.7","0.5","2.5","0.8","0.0","0.3","9.9","1.3","83.4","1.7","0.1","0.1","83.4","1.7","76.0","2.0","13.3","1.6","54.6","2.1","18.3","1.7","16.6","1.7","(X)","(X)","0.0","2.8","57.9","6.5","42.1","6.5","(X)","(X)","0.1","0.1","79.7","3.0","20.1","3.0","(X)","(X)","0.0","0.1","93.3","1.6","6.7","1.6",
"0500000US27131","Rice County, Minnesota","23345","334","22189","380","17639","512","819","188","20801","420","2454","319","14773","440","253","102","419","94","3","4","1156","230","21531","406","59","44","21472","395","19923","435","3304","413","16818","434","1637","226","1814","244","2101","325","0","22","1684","321","417","118","8450","557","30","24","7460","602","960","216","12794","469","29","34","12328","486","437","108","(X)","(X)","95.0","1.0","75.6","2.0","3.5","0.8","89.1","1.3","10.5","1.3","63.3","1.9","1.1","0.4","1.8","0.4","0.0","0.1","5.0","1.0","92.2","1.0","0.3","0.2","92.0","1.0","85.3","1.4","14.2","1.7","72.0","1.9","7.0","1.0","7.8","1.0","(X)","(X)","0.0","0.9","80.2","5.8","19.8","5.8","(X)","(X)","0.4","0.3","88.3","2.7","11.4","2.7","(X)","(X)","0.2","0.3","96.4","0.9","3.4","0.8",
"0500000US27133","Rock County, Minnesota","3956","98","3743","109","3124","139","193","53","3477","119","306","79","2363","158","17","8","123","49","14","18","213","53","3535","126","12","16","3523","126","3220","145","332","65","3023","132","257","64","421","75","414","86","0","13","297","78","117","45","1620","157","0","13","1425","160","195","55","1922","134","12","16","1801","128","109","51","(X)","(X)","94.6","1.3","79.0","3.2","4.9","1.3","87.9","2.0","7.7","2.0","59.7","3.7","0.4","0.2","3.1","1.2","0.4","0.5","5.4","1.3","89.4","1.9","0.3","0.4","89.1","1.9","81.4","2.6","8.4","1.6","76.4","2.6","6.5","1.6","10.6","1.9","(X)","(X)","0.0","4.7","71.7","9.8","28.3","9.8","(X)","(X)","0.0","1.2","88.0","3.5","12.0","3.5","(X)","(X)","0.6","0.8","93.7","2.7","5.7","2.6",
"0500000US27135","Roseau County, Minnesota","6058","153","5684","159","4473","167","260","70","5283","165","805","131","3267","160","44","23","128","59","0","15","374","71","5159","150","39","15","5120","149","4493","162","810","132","4028","163","402","75","899","119","743","124","11","12","534","100","198","59","2361","153","21","12","1863","141","477","78","2954","152","7","4","2723","148","224","62","(X)","(X)","93.8","1.2","73.8","2.4","4.3","1.1","87.2","1.7","13.3","2.1","53.9","2.4","0.7","0.4","2.1","1.0","0.0","0.3","6.2","1.2","85.2","1.8","0.6","0.2","84.5","1.8","74.2","2.5","13.4","2.1","66.5","2.6","6.6","1.2","14.8","1.8","(X)","(X)","1.5","1.6","71.9","6.5","26.6","6.4","(X)","(X)","0.9","0.5","78.9","3.0","20.2","2.9","(X)","(X)","0.2","0.1","92.2","2.0","7.6","2.0",
"0500000US27137","St. Louis County, Minnesota","86264","796","80383","906","66167","1054","2934","293","75077","861","8816","523","51187","1108","886","165","1220","203","3","4","5881","460","75855","1017","316","86","75539","1022","70285","1022","11374","517","58152","1106","7822","516","10409","672","11477","655","70","47","7982","600","3425","432","34540","992","196","58","29333","885","5011","362","40247","898","50","43","38224","930","1973","287","(X)","(X)","93.2","0.5","76.7","0.9","3.4","0.3","87.0","0.6","10.2","0.6","59.3","1.2","1.0","0.2","1.4","0.2","0.0","0.1","6.8","0.5","87.9","0.8","0.4","0.1","87.6","0.8","81.5","0.8","13.2","0.6","67.4","1.1","9.1","0.6","12.1","0.8","(X)","(X)","0.6","0.4","69.5","3.4","29.8","3.4","(X)","(X)","0.6","0.2","84.9","0.9","14.5","0.9","(X)","(X)","0.1","0.1","95.0","0.7","4.9","0.7",
"0500000US27139","Scott County, Minnesota","54238","363","52657","409","48261","571","1126","241","50479","545","2001","332","40718","749","304","132","1422","409","23","30","1581","262","51322","517","97","50","51225","520","48826","555","4167","447","45081","640","4221","507","2916","410","2395","353","9","12","1863","327","523","144","12841","783","49","37","11260","721","1532","274","39002","721","39","35","38102","798","861","266","(X)","(X)","97.1","0.5","89.0","1.0","2.1","0.4","93.1","0.9","3.7","0.6","75.1","1.3","0.6","0.2","2.6","0.8","0.0","0.1","2.9","0.5","94.6","0.8","0.2","0.1","94.4","0.8","90.0","0.9","7.7","0.8","83.1","1.1","7.8","0.9","5.4","0.8","(X)","(X)","0.4","0.5","77.8","5.7","21.8","5.7","(X)","(X)","0.4","0.3","87.7","2.0","11.9","2.0","(X)","(X)","0.1","0.1","97.7","0.7","2.2","0.7",
"0500000US27141","Sherburne County, Minnesota","34951","406","33449","495","29794","594","882","208","31960","551","2118","438","23821","756","174","88","905","310","0","22","1502","301","32619","492","120","62","32499","486","30628","611","3669","544","27257","697","2595","377","2332","333","2089","377","46","38","1403","301","640","216","10349","770","43","34","9170","754","1136","237","22513","720","31","32","21926","732","556","179","(X)","(X)","95.7","0.9","85.2","1.4","2.5","0.6","91.4","1.1","6.1","1.2","68.2","2.1","0.5","0.3","2.6","0.9","0.0","0.1","4.3","0.9","93.3","0.9","0.3","0.2","93.0","1.0","87.6","1.4","10.5","1.5","78.0","1.8","7.4","1.1","6.7","0.9","(X)","(X)","2.2","1.8","67.2","8.6","30.6","8.4","(X)","(X)","0.4","0.3","88.6","2.3","11.0","2.3","(X)","(X)","0.1","0.1","97.4","0.8","2.5","0.8",
"0500000US27143","Sibley County, Minnesota","5884","139","5429","129","4220","173","252","68","5000","145","705","122","3159","190","70","29","98","28","0","15","455","78","5074","141","23","13","5051","141","4741","159","856","96","3435","159","909","119","810","107","618","105","4","8","413","86","201","72","2279","153","6","6","1904","151","369","70","2987","153","13","10","2734","147","240","57","(X)","(X)","92.3","1.3","71.7","2.4","4.3","1.2","85.0","1.7","12.0","2.1","53.7","2.7","1.2","0.5","1.7","0.5","0.0","0.3","7.7","1.3","86.2","1.7","0.4","0.2","85.8","1.7","80.6","1.9","14.5","1.7","58.4","2.3","15.4","2.1","13.8","1.7","(X)","(X)","0.6","1.3","66.8","9.4","32.5","9.4","(X)","(X)","0.3","0.3","83.5","3.0","16.2","3.0","(X)","(X)","0.4","0.4","91.5","1.8","8.0","1.8",
"0500000US27145","Stearns County, Minnesota","60937","436","57674","589","48211","794","2166","356","53784","686","5793","549","36183","988","681","196","1356","313","37","55","3263","374","54587","663","236","135","54351","691","50523","702","7074","513","44327","937","3889","404","6350","538","6510","518","9","7","4845","540","1656","296","23256","872","123","45","19763","872","3370","348","31171","729","104","131","29743","776","1324","256","(X)","(X)","94.6","0.6","79.1","1.2","3.6","0.6","88.3","0.8","9.5","0.9","59.4","1.6","1.1","0.3","2.2","0.5","0.1","0.1","5.4","0.6","89.6","0.9","0.4","0.2","89.2","0.9","82.9","0.9","11.6","0.9","72.7","1.4","6.4","0.7","10.4","0.9","(X)","(X)","0.1","0.1","74.4","4.6","25.4","4.6","(X)","(X)","0.5","0.2","85.0","1.5","14.5","1.5","(X)","(X)","0.3","0.4","95.4","0.9","4.2","0.8",
"0500000US27147","Steele County, Minnesota","15001","193","13895","221","11706","309","323","97","13207","237","1246","237","9413","398","153","59","152","68","0","20","1106","166","13173","238","12","10","13161","237","12448","268","1732","230","10520","333","1143","204","1828","194","1223","234","3","4","800","190","420","127","5580","396","9","9","4563","361","1008","172","8198","375","0","20","7798","369","400","121","(X)","(X)","92.6","1.1","78.0","2.2","2.2","0.6","88.0","1.4","8.3","1.6","62.7","2.7","1.0","0.4","1.0","0.5","0.0","0.1","7.4","1.1","87.8","1.3","0.1","0.1","87.7","1.3","83.0","1.5","11.5","1.5","70.1","2.2","7.6","1.3","12.2","1.3","(X)","(X)","0.2","0.3","65.4","8.4","34.3","8.3","(X)","(X)","0.2","0.2","81.8","2.8","18.1","2.8","(X)","(X)","0.0","0.2","95.1","1.4","4.9","1.4",
"0500000US27149","Stevens County, Minnesota","3835","101","3639","122","2896","163","153","46","3329","133","386","108","2411","186","62","35","57","26","0","13","196","64","3436","125","4","3","3432","124","3144","136","496","125","2817","160","286","79","399","89","406","94","0","13","304","84","102","51","1578","156","3","3","1385","136","190","69","1851","111","1","2","1743","114","107","28","(X)","(X)","94.9","1.7","75.5","3.5","4.0","1.2","86.8","2.2","10.1","2.8","62.9","4.3","1.6","0.9","1.5","0.7","0.0","0.5","5.1","1.7","89.6","2.3","0.1","0.1","89.5","2.3","82.0","2.5","12.9","3.3","73.5","3.5","7.5","2.1","10.4","2.3","(X)","(X)","0.0","4.8","74.9","11.1","25.1","11.1","(X)","(X)","0.2","0.2","87.8","3.9","12.0","3.9","(X)","(X)","0.1","0.1","94.2","1.5","5.8","1.5",
"0500000US27151","Swift County, Minnesota","4134","142","3749","151","3090","142","176","54","3403","151","398","93","2441","137","77","40","51","25","0","13","385","78","3436","152","5","5","3431","152","3113","157","455","98","2822","141","259","55","698","108","581","102","0","13","331","84","250","68","1792","147","1","2","1456","151","335","70","1761","141","4","5","1644","130","113","39","(X)","(X)","90.7","1.9","74.7","2.8","4.3","1.3","82.3","2.2","9.6","2.2","59.0","2.7","1.9","1.0","1.2","0.6","0.0","0.5","9.3","1.9","83.1","2.5","0.1","0.1","83.0","2.5","75.3","2.7","11.0","2.3","68.3","2.9","6.3","1.4","16.9","2.5","(X)","(X)","0.0","3.4","57.0","9.6","43.0","9.6","(X)","(X)","0.1","0.1","81.3","3.9","18.7","3.9","(X)","(X)","0.2","0.3","93.4","2.1","6.4","2.0",
"0500000US27153","Todd County, Minnesota","10049","216","8893","194","6442","214","484","89","8101","198","1553","151","4947","174","77","34","147","44","3","3","1156","112","8009","198","62","19","7947","202","5865","196","2225","140","4955","213","821","79","2040","172","1231","174","3","8","746","134","482","89","4505","240","38","19","3353","203","1114","149","4313","197","21","12","3848","204","444","112","(X)","(X)","88.5","1.0","64.1","1.8","4.8","0.9","80.6","1.2","15.5","1.4","49.2","1.8","0.8","0.3","1.5","0.4","0.0","0.1","11.5","1.0","79.7","1.5","0.6","0.2","79.1","1.5","58.4","1.8","22.1","1.3","49.3","1.9","8.2","0.8","20.3","1.5","(X)","(X)","0.2","0.6","60.6","5.6","39.2","5.6","(X)","(X)","0.8","0.4","74.4","2.9","24.7","2.9","(X)","(X)","0.5","0.3","89.2","2.5","10.3","2.5",
"0500000US27155","Traverse County, Minnesota","1410","68","1254","71","962","74","72","26","1126","72","169","46","718","76","28","28","11","9","0","9","156","35","1150","73","7","6","1143","72","927","77","126","31","890","69","167","41","260","52","205","54","0","9","130","44","75","37","585","76","3","3","450","65","132","41","620","60","4","4","563","57","53","21","(X)","(X)","88.9","2.4","68.2","4.4","5.1","1.8","79.9","2.8","12.0","3.1","50.9","5.2","2.0","2.0","0.8","0.6","0.0","1.4","11.1","2.4","81.6","3.6","0.5","0.4","81.1","3.5","65.7","4.2","8.9","2.2","63.1","4.1","11.8","2.8","18.4","3.6","(X)","(X)","0.0","9.3","63.4","15.4","36.6","15.4","(X)","(X)","0.5","0.6","76.9","6.1","22.6","6.0","(X)","(X)","0.6","0.6","90.8","3.4","8.5","3.2",
"0500000US27157","Wabasha County, Minnesota","9129","208","8363","212","6896","238","339","67","7760","225","847","138","5517","217","85","37","106","35","5","4","766","129","7743","238","28","17","7715","238","6934","225","766","113","6014","236","1001","116","1386","173","895","176","0","17","548","120","347","121","3436","236","24","17","2621","228","791","148","4798","205","4","4","4546","195","248","78","(X)","(X)","91.6","1.4","75.5","2.3","3.7","0.7","85.0","1.6","9.3","1.4","60.4","2.3","0.9","0.4","1.2","0.4","0.1","0.1","8.4","1.4","84.8","1.8","0.3","0.2","84.5","1.9","76.0","1.9","8.4","1.2","65.9","2.2","11.0","1.3","15.2","1.8","(X)","(X)","0.0","2.2","61.2","9.6","38.8","9.6","(X)","(X)","0.7","0.5","76.3","4.1","23.0","4.0","(X)","(X)","0.1","0.1","94.7","1.6","5.2","1.6",
"0500000US27159","Wadena County, Minnesota","5889","172","5410","173","4075","188","337","100","4930","198","929","158","2918","204","44","33","82","30","4","5","479","97","4957","200","7","8","4950","200","3641","202","1038","168","3736","244","271","68","932","148","808","133","1","2","546","120","261","75","2796","230","5","7","2258","223","533","117","2285","152","1","2","2146","156","138","58","(X)","(X)","91.9","1.6","69.2","2.9","5.7","1.7","83.7","2.3","15.8","2.6","49.6","3.4","0.7","0.6","1.4","0.5","0.1","0.1","8.1","1.6","84.2","2.5","0.1","0.1","84.1","2.5","61.8","3.3","17.6","3.0","63.4","3.3","4.6","1.1","15.8","2.5","(X)","(X)","0.1","0.2","67.6","8.2","32.3","8.2","(X)","(X)","0.2","0.2","80.8","4.0","19.1","4.0","(X)","(X)","0.0","0.1","93.9","2.5","6.0","2.5",
